country,sports_percentage,total_articles
Argentina,0.9009483667017913,949
Bangladesh,1.0,1
Bolivia,0.5384615384615384,13
Brazil,0.6,5
Canada,1.0,1
Chile,0.9370629370629371,286
Colombia,0.9741496598639455,735
Costa Rica,1.0,3
Dominican Republic,0.8695652173913043,23
Ecuador,0.99,100
El Salvador,1.0,3
Estonia,1.0,1
France,1.0,1
Germany,1.0,1
Guatemala,0.8666666666666667,15
Hong Kong,1.0,11
India,1.0,1
Indonesia,1.0,1
Japan,1.0,1
Mexico,0.9034236075625958,1957
Panama,1.0,3
Paraguay,1.0,1
Peru,0.933920704845815,227
Philippines,1.0,1
Puerto Rico,1.0,1
Russia,1.0,1
Singapore,1.0,28
South Africa,1.0,1
South Korea,1.0,1
Spain,0.9454985870004037,2477
Sweden,1.0,1
Ukraine,1.0,1
United Kingdom,1.0,1
United States,0.7436823104693141,277
Uruguay,0.6875,16
Venezuela,0.9466666666666667,75
